ds,close,volatility,actual_vol,naive_vol_pred,xgb_vol_pred,np_vol_pred,tft_vol_pred,hybrid_vol_pred
2025-04-08,24.7,0.07260308097430157,0.07260308097430157,0.0,0.021921558,0.0050224876,0.006829677615314722,0.025308240012005136
2025-04-03,26.8,0.0716262171072734,0.0716262171072734,0.0,0.009233456,0.0030584543,0.004432821646332741,0.013202900667436202
2025-04-10,24.81,0.06709451903144538,0.06709451903144538,0.0,0.020559309,0.0010420311,0.018973052501678467,0.034146985903369745
2025-10-20,33.8,0.06527789270544986,0.06527789270544986,0.0,0.017009264,0.011432272,0.01203572005033493,0.021672794001426344
2026-01-09,40.75,0.06462032407434219,0.06462032407434219,0.0,0.015536765,0.040408634,0.010131756775081158,0.01995896845138797
2025-04-09,23.2,0.06265096496166726,0.06265096496166726,0.0,0.021158323,0.009139472,0.01666916161775589,0.031198726176361158
2025-04-11,26.35,0.060221477283661735,0.060221477283661735,0.0,0.032068484,0.008737691,0.020493898540735245,0.03324562524920503
2025-12-03,35.94,0.05843586696900833,0.05843586696900833,0.0,0.010957571,0.01764213,0.006990437861531973,0.01617005353693139
2024-12-25,26.21,0.05368576027003698,0.05368576027003698,0.0,0.007811093,0.009736458,0.0015463889576494694,0.01246534311341382
2025-07-30,31.7,0.053121296558406604,0.053121296558406604,0.0,0.016880987,0.045696676,0.005378922447562218,0.018882738695381422
2025-08-26,35.14,0.042139025340489696,0.042139025340489696,0.0,0.022194585,0.00583942,0.013470041565597057,0.022509660973533997
2025-11-07,33.87,0.041919708906079024,0.041919708906079024,0.0,0.012188951,0.009137938,0.012897095642983913,0.019350393126560957
2025-05-13,27.04,0.04037522550010621,0.04037522550010621,0.0,0.010726338,0.0066251783,0.006046793423593044,0.01772114118446296
2025-07-29,30.06,0.04010317335596238,0.04010317335596238,0.0,0.017671652,0.039954342,0.0016581974923610687,0.013017084515543495
2025-07-07,30.47,0.03915507697459605,0.03915507697459605,0.0,0.016644485,0.016630199,0.0033948179334402084,0.012125051391545646
2025-10-09,37.74,0.03890279866959919,0.03890279866959919,0.0,0.012065938,0.01885391,0.010288970544934273,0.01844649800220457
2025-09-22,33.83,0.037992099966334056,0.037992099966334056,0.0,0.013476324,0.012577591,0.009847471490502357,0.017077383863173735
2025-08-25,33.69,0.03614500140027912,0.03614500140027912,0.0,0.024745032,0.0066082445,0.012125514447689056,0.021508054896196088
2025-06-13,27.38,0.0356915207661235,0.0356915207661235,0.0,0.012201821,0.0052745934,0.00478415796533227,0.014687795682895214
2026-01-15,40.0,0.03560842746736777,0.03560842746736777,0.0,0.014428249,0.0048452313,0.010078703984618187,0.02319548005517754
